INdex,INdex.1,INdex.1.1,Magnitude,Station Name,Epicenter distance,Hypocenter distance,Focal depth,Station_Lon,Station_Lat,Epicenter_Lon,Epicenter_Lat,PGA,Tau_p,Tau_c,Origin Time,Rec Start Time,Vs30,Vs_20,Vs_10,Vs_5,PI_v,T_va,RSSC Vel,CAV,CAD,ID_2,IV_2,Arias intensity UD,Arias intensity NS,Arias intensity EW,PGV UD 3 sec,PGD UD 3 sec,PGA UD 3 sec,Max Acc Index UD,Max Acc Index NS,Max Acc Index EW,Max Vel Index UD,Max Disp Index UD,Total PGV UD,Total PGD UD,Total PGV NS,Total PGD NS,Total PGV EW,Total PGD EW,V VS ACC
3765,3765,3765,4.5,YMN007,51.97932584,56.84056927,23,138.4649,35.2791,138.997,35.453,3.548,1.5,3.217832334,12:25:00,12:25:36,547,365,266,186,-7.610041219,1.336147629,0.129278503,2.007618038,0.952258095,4.37E-05,0.000166464,1.070555743,0.029101909,0.126562799,0.011911952,0.007986884,0.056015519,2,248,29,296,299,0.001352856,0.000112961,0.000574745,4.00E-05,0.000949818,5.59E-05,0.2126545
3766,3766,3766,4.5,YMN008,60.27860258,64.51751645,23,138.3321,35.432,138.997,35.453,3.237,1.5,2.407419456,12:25:00,12:25:38,683,455,228,138,-4.714129118,0.211676726,0.136229104,1.856556799,0.798336418,2.72E-05,0.000185538,1.347329542,0.28436764,0.347390235,0.023314406,0.004923752,0.692039865,139,147,194,44,297,0.000304434,2.17E-05,0.000473003,2.95E-05,0.000418452,1.96E-05,0.033689397
3767,3767,3767,4.5,YMN009,48.62410257,53.78943531,23,138.4627,35.4965,138.997,35.453,5.695,0.010204082,1.343656906,12:25:00,12:25:36,374,249,139,78,-2.300416476,0.272640568,0.295197083,3.561972866,0.965136618,3.98E-05,0.000870941,2.552414974,10.69063692,5.361416827,0.07836396,0.006245131,1.805950168,6,146,243,9,22,0.000445549,2.88E-05,0.000489513,3.43E-05,0.000366095,2.41E-05,0.043392094
3768,3768,3768,4.5,YMN010,65.1009801,69.04446111,23,138.4096,35.7918,138.997,35.453,6.694,1.5,3.190313796,12:25:00,12:25:30,971,647,363,273,-8.257237104,1.108748253,0.086803635,1.338859818,0.628588707,1.93E-05,7.50E-05,0.437793371,0.498947102,1.165176592,0.007871569,0.005350256,0.044607538,12,22,10,298,299,0.000948013,6.47E-05,0.001095332,8.33E-05,0.00176761,0.000121742,0.176462765
3769,3769,3769,4.5,YMN011,59.39266186,63.69056667,23,138.3805,35.6365,138.997,35.453,8.215,3,2.345019625,12:25:00,12:25:37,306,204,142,94,-10.38046149,0.115863178,0.008441704,0.130031122,0.048561268,9.92E-08,7.12E-07,0.021783385,0.075689853,0.098738959,0.000968147,0.000262453,0.052501982,45,48,206,231,247,0.000496483,3.26E-05,0.000470396,2.50E-05,0.00057187,2.54E-05,0.018440198
3770,3770,3770,4.5,AIC004,133.0551139,135.0283797,23,136.9737,35.0632,138.408,34.84,1.405,1.5,2.708723849,18:11:00,18:11:43,456,304,249,194,-6.001145724,0.243036461,0.089616084,1.304694347,0.55186313,1.48E-05,7.98E-05,0.464187917,0.098463461,5.157183408,0.012994142,0.004846001,0.335935622,244,179,23,281,299,0.006737859,0.000235674,0.005004875,0.000186828,0.009186585,0.000715151,0.038680454
3771,3771,3771,4.5,AIC005,116.5027242,118.7513568,23,137.2056,35.1979,138.408,34.84,2.066,1.5,2.089309868,18:11:00,18:11:38,798,532,266,170,-6.658062916,0.200398593,0.029761726,0.397701323,0.150814659,9.78E-07,8.85E-06,0.069423916,0.016386861,0.060900632,0.00720933,0.001002315,0.22603731,31,77,82,32,299,0.004982729,0.000352948,0.003729979,0.000175552,0.005815407,0.000312134,0.031894427
3772,3772,3772,4.5,AIC006,91.94382724,94.77693479,23,137.5086,35.2159,138.408,34.84,11.93,1.5,3.136093548,18:11:00,18:11:32,513,342,171,105,-9.839376515,0.219129983,0.018272503,0.280236461,0.130501735,8.28E-07,3.32E-06,0.022998226,0.419781514,0.021722098,0.001801417,0.001136035,0.051652618,35,35,10,299,299,0.00059315,1.85E-05,0.001297466,6.91E-05,0.000695738,1.83E-05,0.03487562
3773,3773,3773,4.5,AIC008,81.58357089,84.7636658,23,137.5697,35.0977,138.408,34.84,4.356,1.5,1.728786686,18:11:00,18:11:28,1067,711,356,226,-4.776754743,0.068294791,0.052344153,0.657886682,0.216377976,2.07E-06,2.74E-05,0.10102079,0.050704095,0.161815143,0.010989483,0.001279253,1.011042801,52,63,57,53,250,9.99E-05,6.64E-06,0.000233611,1.51E-05,0.00016393,5.21E-06,0.010869454
3774,3774,3774,4.5,AIC009,118.0547913,120.2744102,23,137.1464,35.0812,138.408,34.84,3.822,0.2,1.103212206,18:11:00,18:11:38,353,235,198,150,-5.063702356,0.198873771,0.084187121,1.133499101,0.222268177,2.18E-06,7.09E-05,0.189062252,0.083997382,0.391030942,0.016299146,0.001459799,0.514952561,33,273,77,31,256,0.014972606,0.000612222,0.006605536,0.000273315,0.0145412,0.000684977,0.031651744
3775,3775,3775,4.5,AIC010,91.029817,93.89050848,23,137.4236,34.976,138.408,34.84,4.858,0.09375,0.473715645,18:11:00,18:11:31,396,264,170,104,-5.536411133,0.086547938,0.054614566,0.741855733,0.058964646,1.70E-07,2.98E-05,0.065834298,0.085015055,0.270842032,0.009337612,0.000579953,0.677889599,89,135,44,87,26,0.00036051,7.68E-06,0.000216692,8.30E-06,0.000352357,2.25E-05,0.013774532
3776,3776,3776,4.5,AIC012,124.6206322,126.7253012,23,137.0447,34.9119,138.408,34.84,1.426,1.5,2.899870073,18:11:00,18:11:40,265,176,127,88,-7.282111126,0.229393263,0.049753523,0.722875848,0.327394769,5.26E-06,2.47E-05,0.142481291,0.037876439,0.105209035,0.006418967,0.002699563,0.175818407,283,299,259,263,283,0.003538868,0.000184446,0.003967995,0.000167339,0.005801095,0.000260472,0.036509072
3777,3777,3777,4.5,AIC013,76.58751338,79.96653804,23,137.5761,34.9335,138.408,34.84,5.029,1.5,3.196559323,18:11:00,18:11:27,878,586,422,308,-8.284268896,0.406742603,0.052228488,0.808589781,0.380210981,7.03E-06,2.72E-05,0.165293275,0.070620451,0.573195098,0.004795998,0.003230484,0.074086527,64,36,158,287,299,0.000659109,4.19E-05,0.000603256,2.94E-05,0.001259078,7.74E-05,0.064735096
